main_category,series_name,detail_page_url,gov_stat_code,overview,field_major,field_minor,stat_type,homepage_url,organization_detail,division,email,tel,organization
人口・世帯,人口動態調査,https://www.e-stat.go.jp/statistics/00450011,450011,人口動態調査は、我が国の人口動態事象を把握する上で重要な統計調査です。同調査は戸籍法及び死産の届出に関する規程により届け出られた出生、死亡、婚姻、離婚及び死産の全数を対象として、毎月実施されます。　人口動態調査では、一人の女性が一生の間に生む子どもの数に相当する合計特殊出生率や死因別死亡数、年齢別婚姻・離婚件数などの結果を、全国、都道府県、保健所などの単位で提供しています。また、人口推計（総務省）、生命表（厚生労働省）など他の統計や施策に活用されるほか、民間企業や研究機関でも広く利用されています。【利用上の注意】　「年次報告書（1979年以前）」として掲載している各報告書は、過去の報告書を画像データとして取り込んでPDF形式に変換して掲載しているため、１報告書当たり30MB～120MB程度の容量があります。閲覧される場合はその点に留意してご利用ください。（令和３年４月20日）　都道府県からの報告漏れによる再集計について　都道府県からの報告漏れ（平成31年３月29日公表）による再集計を反映した2004～2017年（平成16～29年）の確定数・保管統計表・保管統計表（都道府県編）の各統計表をe-Statに掲載しました。　数値が変更になった統計表については、「※本表の数値は、2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計後の数値である。」と脚注に付記しています。　※再集計に関する正誤情報はこちらです。（令和３年６月３日）（令和４年４月18日）　なお、月報、速報は、最新数値をその都度公表していく性質であることから、数値の修正はおこなっておりません。　上記、人口動態統計の再集計に伴い、2005・2010・2015年度（平成17，22，27年度）の人口動態職業･産業別統計についても、再集計を反映した統計表をe-Statに掲載しました。　なお、2005・2010年度（平成17，22年度）は、報告漏れの件数が少なく諸率への影響が少ないことから、実数のみの再集計を行っています。　データベースを更新しました。（令和６年３月29日）　※再集計に関する正誤情報はこちらです。（令和４年４月27日）（令和６年３月13日）（令和７年３月31日）　掲載を中止していた、人口動態統計月報（概数）（平成23年10月分）の「第７表　感染症による死亡数，死因（感染症分類）別・対前年比較」について、正誤情報及び訂正後の統計表を掲載いたしました。　利用者の皆様にはご迷惑をおかけしましたことをお詫び申し上げます。,人口・世帯,人口動態,基幹統計,http://www.mhlw.go.jp/toukei/list/81-1.html,厚生労働省,人口動態・保健社会統計室,,03-5253-1111,厚生労働省
人口・世帯,生命表,https://www.e-stat.go.jp/statistics/00450012,450012,生命表は、ある期間における死亡状況（年齢別死亡率）が今後変化しないと仮定したときに、各年齢の者が1年以内に死亡する確率や平均してあと何年生きられるかという期待値などを死亡率や平均余命などの指標（生命関数）によって表したものです。　特に、0歳の平均余命である「平均寿命」は、死亡状況を集約したものとなっており、保健福祉水準を総合的に示す指標として広く活用されています。,人口・世帯,人口動態,基幹統計,http://www.mhlw.go.jp/toukei/list/list54-57.html,厚生労働省,人口動態・保健社会統計室,,03-5253-1111,厚生労働省
人口・世帯,人口動態統計特殊報告,https://www.e-stat.go.jp/statistics/00450013,450013,人口動態統計特殊報告は、人口動態統計における出生、死亡、死産、婚姻、離婚の５事象から、高齢化や疾病構造の変化、出生率の低下といった保健、医療、福祉の動向、それらを取り巻く環境の変化に応じてテーマを選定し、分析を行ったものです。　人口動態統計における通常の報告書では作成されていない統計表についても掲載しています。,人口・世帯,人口動態,加工統計,http://www.mhlw.go.jp/toukei/list/list58-60.html,厚生労働省,人口動態・保健社会統計室,,03-5253-1111,厚生労働省
人口・世帯,21世紀出生児縦断調査(平成13年出生児),https://www.e-stat.go.jp/statistics/00450043,450043,21世紀出生児縦断調査（平成13年出生児）は、同一客体を長年にわたって追跡する縦断調査として、平成13年度から実施している統計調査であり、21世紀の初年に出生した子の実態及び経年変化の状況を継続的に観察することにより、少子化対策等の施策の企画立案、実施等のための基礎資料を得ることを目的としています。　なお、第16回調査から、少子化対策のみならず、教育面を含む国の施策に活用することを目的として、文部科学省を実施主体とする厚生労働省との共管調査として実施しています。,人口・世帯,世帯,一般統計,http://www.mhlw.go.jp/toukei/list/27-9.html,厚生労働省,世帯統計室,,03-5253-1111,厚生労働省
人口・世帯,21世紀成年者縦断調査(平成14年成年者),https://www.e-stat.go.jp/statistics/00450044,450044,調査対象となった男女の結婚、出産、就業等の実態及び意識の経年変化の状況を継続的に観察することにより、少子化対策等厚生労働行政施策の企画立案、実施等のための基礎資料を得ることを目的に、全国の20～34歳（平成14年10月末日現在）である男女及びその配偶者を対象として、平成14年から実施してきましたが、第14回（平成27年）調査をもって終了しました。 　仕事の有無、就業形態、配偶者の有無、家事・育児時間、親との同居の有無、独身者の結婚意欲、子どもをもつ意欲等を把握した結果を提供しています。,人口・世帯,世帯,一般統計,http://www.mhlw.go.jp/toukei/list/28-9.html,厚生労働省,世帯統計室,,03-5253-1111,厚生労働省
人口・世帯,中高年者縦断調査,https://www.e-stat.go.jp/statistics/00450045,450045,調査対象になった方の健康・就業・社会活動等について、意識や実態の変化を継続的に調査することにより、高齢者対策など厚生労働行政の企画立案、実施等のための基礎資料を得ることを目的に、全国の50～59歳（平成17年10月末時点）である男女を対象として、平成17年から実施しています。,人口・世帯,世帯,一般統計,http://www.mhlw.go.jp/toukei/list/29-6.html,厚生労働省,世帯統計室,,03-5253-1111,厚生労働省
人口・世帯,21世紀出生児縦断調査(平成22年出生児),https://www.e-stat.go.jp/statistics/00450050,450050,21世紀出生児縦断調査（平成22年出生児）は、同一客体を長年にわたって追跡する縦断調査として、平成22年に出生した子の実態及び経年変化の状況を継続的に観察するとともに、21世紀の初年である平成13年に出生した子を継続的に観察している調査との比較対照等を行うことにより、少子化対策等の施策の企画立案、実施等のための基礎資料を得ることを目的としています。【利用上の注意】　－　　　計数のない場合　・　　　統計項目があり得ない場合　0、0.0　表章単位の1/2未満、又は比率が微少（0.05未満）の場合　△　　　減少数（率）の場合,人口・世帯,世帯,一般統計,http://www.mhlw.go.jp/toukei/list/27-22.html,厚生労働省,世帯統計室,,03-5253-1111,厚生労働省
人口・世帯,21世紀成年者縦断調査(平成24年成年者),https://www.e-stat.go.jp/statistics/00450051,450051,調査対象となった男女の結婚、出産、就業等の実態及び意識の経年変化の状況を継続的に観察することにより、少子化対策等厚生労働行政施策の企画立案、実施等のための基礎資料を得ることを目的に、全国の20～29歳（平成24年10月末日現在）である男女及びその配偶者を対象として、平成24年から実施しています。　仕事の有無、就業形態、配偶者の有無、家事・育児時間、親との同居の有無、独身者の結婚意欲、子どもをもつ意欲等を把握した結果を提供しています。,人口・世帯,世帯,一般統計,http://www.mhlw.go.jp/toukei/list/28-24.html,厚生労働省,世帯統計室,,03-5253-1111,厚生労働省
人口・世帯,国民生活基礎調査,https://www.e-stat.go.jp/statistics/00450061,450061,国民生活基礎調査は、全国の世帯及び世帯員を対象に、保健、医療、福祉、年金、所得等国民生活の基礎的事項を調査し、厚生労働行政の企画及び運営に必要な基礎資料を得ることを目的として、昭和61年を初年として３年ごとに大規模な調査を実施し、中間の各年は簡易な調査を実施しています。　国民生活基礎調査では、世帯数と世帯人員の状況、各種世帯の所得等の状況、世帯員の健康状況、介護の状況等の結果を提供しています。,人口・世帯,世帯,基幹統計,http://www.mhlw.go.jp/toukei/list/20-21.html,厚生労働省,世帯統計室,,03-5253-1111,厚生労働省
人口・世帯,社会保障・人口問題基本調査(出生動向基本調査),https://www.e-stat.go.jp/statistics/00450431,450431,この調査は、他の公的統計では把握することのできない結婚ならびに夫婦の出生力に関する実状と背景を定時的に調査・計量し、関連諸施策ならびに将来人口推計をはじめとする人口動向把握に必要な基礎資料を得ることを目的としています。調査では独身者の結婚意欲や結婚・家族観、夫婦の出生意欲や出生行動の実態、就業・子育て環境等をたずね、集計結果を公表しています。本調査のデータは、日本の将来人口推計の出生仮定設定に使われるほか、各種白書や国・地方自治体の政策立案時の資料、関連諸施策の政策目標として利用されています。,人口・世帯,人口動態,一般統計,http://www.ipss.go.jp/site-ad/index_japanese/shussho-index.html,厚生労働省,国立社会保障・人口問題研究所,,,厚生労働省
人口・世帯,社会保障・人口問題基本調査(人口移動調査),https://www.e-stat.go.jp/statistics/00450432,450432,人口移動調査は、社会保障・人口問題基本調査の一つで1976年よりほぼ5年に1回実施しています。この調査では、人々が入学・就職・結婚といった人生の節目でどのような移動を経験したのか、なぜ移動したのか、生涯にどのくらい移動したか、出身地へのUターンの状況、将来の移動の可能性や、親や子の居住地などについて明らかにしています。本調査の結果は、移動による人口変化に対応した地域活性化・地方創生に資する国・地方自治体の政策、国立社会保障・人口問題研究所が行う地域将来人口推計のための基礎資料として用いられています。,人口・世帯,人口移動,一般統計,http://www.ipss.go.jp/site-ad/index_Japanese/ps-idou-index.asp,厚生労働省,国立社会保障・人口問題研究所,,,厚生労働省
人口・世帯,社会保障・人口問題基本調査(全国家庭動向調査),https://www.e-stat.go.jp/statistics/00450434,450434,全国家庭動向調査は「出産・子育て」や「高齢者の扶養・介護」をはじめとする家庭の諸機能について調べるため、５年ごとに実施されます。本調査から得られる家族の動向は、国や地方公共団体の政治・行政の場や、民間企業や大学等の研究機関でも広く利用され、国民の生活に役立てられています。本調査結果の主なものは、夫婦の人口学的・社会経済的属性、両親・子どもに関する事項、出産・育児や扶養・介護に関する事項、日常生活でのサポート資源に関する事項、夫の家事・育児に関する事項、夫婦関係に関する事項等となっています。,人口・世帯,世帯,一般統計,http://www.ipss.go.jp/site-ad/index_Japanese/ps-katei-index.html,厚生労働省,国立社会保障・人口問題研究所,,,厚生労働省
人口・世帯,社会保障・人口問題基本調査(世帯動態調査),https://www.e-stat.go.jp/statistics/00450435,450435,世帯動態調査は、過去５年間の世帯および世帯員の状態の変化（世帯動態）を把握することを目的としています。特に親・子・配偶者との同居開始・終了や独居の開始・終了といった世帯形成・解体行動に関する情報を収集し、世帯数の将来推計のための基礎データとしています。世帯数の将来推計は、高齢者福祉、住宅需要、環境問題など幅広い分野で活用されています。,人口・世帯,世帯,一般統計,http://www.ipss.go.jp/site-ad/index_Japanese/ps-dotai-index.html,厚生労働省,国立社会保障・人口問題研究所,,,厚生労働省
労働・賃金,民間企業退職金実態調査,https://www.e-stat.go.jp/statistics/00000001,1,,労働・賃金,賃金・労働条件,,,内閣官房,内閣人事局,naijintaite2@cas.go.jp,,内閣官房
労働・賃金,民間企業の勤務条件制度等調査,https://www.e-stat.go.jp/statistics/00020111,20111,民間企業の勤務条件制度等調査は、国家公務員の勤務条件検討のための基礎資料を得ることを目的とした調査で、民間企業を対象とし毎年実施されます。　この調査では、民間企業における労働時間、休業・休暇、福利厚生、退職管理及び災害補償法定外給付等の諸制度を調査し、その結果をとりまとめの上提供しています。,労働・賃金,賃金・労働条件,一般統計,https://www.jinji.go.jp/kouho_houdo/toukei/0111_kinmujouken/kinmujouken.html,人事院,事務総局,,03-3581-5311(2573),人事院
労働・賃金,職種別民間給与実態調査,https://www.e-stat.go.jp/statistics/00020311,20311,職種別民間給与実態調査は、「一般職の職員の給与に関する法律」等の適用を受ける一般職国家公務員の給与を検討するため、毎年４月現在の民間給与の実態を調査するものです。　この調査の結果は、毎年８月に行われている人事院勧告の基礎資料として活用されるとともに、職種別学歴別の平均初任給月額、職種別年齢階層別の４月分平均支給額、給与改定の状況、諸手当の支給状況等の集計結果を提供しています。,労働・賃金,賃金・労働条件,一般統計,https://www.jinji.go.jp/kouho_houdo/toukei/0311_minkankyuuyo/minkankyuuyo.html,人事院,事務総局,,03-3581-4023,人事院
労働・賃金,民間企業における役員報酬(給与)調査,https://www.e-stat.go.jp/statistics/00020321,20321,民間企業における役員報酬（給与）調査は、国家公務員の指定職俸給表の適用を受ける職員（事務次官など）の給与を検討するための資料を得ることを目的とした調査で、全国の企業を対象として、毎年実施されます。　この調査では、民間企業における主な役員の年間報酬額を企業規模別に集計した結果を提供しています。,労働・賃金,賃金・労働条件,一般統計,https://www.jinji.go.jp/kouho_houdo/toukei/0321_yakuinhousyu/0321_yakuinhousyu_ichiran.html,人事院,事務総局,,,人事院
労働・賃金,労働力調査,https://www.e-stat.go.jp/statistics/00200531,200531,労働力調査は、統計法に基づく基幹統計調査として、国民の就業及び不就業の状態を明らかにするための基礎資料を得ることを目的として、毎月実施しています。調査の結果には、毎月公表する基本集計として、就業者数、完全失業者数、完全失業率など、四半期ごとに公表する詳細集計として、現職についた理由別の非正規の職員・従業員数、失業期間別の完全失業者数などがあります。それらの結果は、景気判断や雇用政策などの基礎資料として利用されています。,労働・賃金,労働力,基幹統計,http://www.stat.go.jp/data/roudou/index.htm,総務省,統計局統計調査部国勢統計課労働力人口統計室,,03-5273-1162,総務省
労働・賃金,就業構造基本調査,https://www.e-stat.go.jp/statistics/00200532,200532,就業構造基本調査は，統計法に基づく基幹統計調査として，国民の就業及び不就業の状態を調査し，全国及び地域別の就業構造に関する基礎資料を得ることを目的として５年ごとに実施しています。調査の結果は，国や地方公共団体における雇用政策などの各種施策の基礎資料として利用されています。,労働・賃金,労働力,基幹統計,https://www.stat.go.jp/data/shugyou/2022/index.html,総務省,統計局統計調査部国勢統計課労働力人口統計室,,03-5273-1092,総務省
労働・賃金,就業希望状況調査,https://www.e-stat.go.jp/statistics/00200534,200534,就業希望状況調査は，厳しさを増す雇用情勢に的確に対応するため，就業・不就業のより詳細な実態，特に，雇用保険の受給の状況等，失業者のより詳細な実態を把握するため，平成14年に２回実施された調査です。,労働・賃金,労働力,その他,http://www.stat.go.jp/data/kibou/index.htm,総務省,統計局統計調査部国勢統計課労働力人口統計室,,03-5273-1162,総務省
労働・賃金,民間給与実態統計調査,https://www.e-stat.go.jp/statistics/00351000,351000,民間給与実態統計調査は、民間の事業所における年間の給与の実態を、給与階級別、事業所規模別、企業規模別等に明らかにし、併せて、租税収入の見積り、租税負担の検討及び税務行政運営等の基本資料とすることを目的としているものです。,労働・賃金,賃金・労働条件,基幹統計,https://www.nta.go.jp/publication/statistics/index.htm,国税庁,企画課,,03-3581-4161,財務省
労働・賃金,教職員の組織する職員団体の実態調査,https://www.e-stat.go.jp/statistics/00400302,400302,本調査は、公立学校の教職員が組織する職員団体への加入状況について、その全国的な傾向を把握することで教育行政の円滑かつ適正な運営に資することを目的として、都道府県教育委員会等の協力を得て調査しています。対象は、大学及び高等専門学校を除く公立学校に勤務する全ての常勤教職員（再任用教職員を含む）です。　昭和３３年から調査を開始し、毎年１０月１日時点での教職員全体の加入状況及び新規採用教職員の加入状況（こちらは昭和３５年開始）を公表しています。,労働・賃金,労使関係,業務統計,,文部科学省,,,,文部科学省
労働・賃金,高等学校卒業(予定)者の就職(内定)状況に関する調査,https://www.e-stat.go.jp/statistics/00400303,400303,高等学校卒業（予定）者の就職（内定）状況に関する調査は、高校生の就職問題に適切に対処するための参考資料を得るため、毎年、高等学校卒業予定者で就職を希望する者の就職内定状況を１０月末現在、１２月末現在、３月末現在の状況を調査し、その結果を提供しています。※令和２年度調査に関しては、新型コロナウイルス感染症の影響により、例年「１０月末、１２月末、３月末」時点での調査としているところを「１１月末、１月末、３月末」時点での調査としています。,労働・賃金,雇用,一般統計,http://www.mext.go.jp/b_menu/toukei/chousa01/kousotsu/1263034.htm,文部科学省,初等中等教育局児童生徒課,,,文部科学省
労働・賃金,大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査,https://www.e-stat.go.jp/statistics/00400402,400402,本調査は、大学、短期大学、高等専門学校及び専修学校卒業（予定）の学生について、就職（内定）状況等を把握するために文部科学省と厚生労働省が共同で実施しているものです。年４回、１０月１日、１２月１日、２月１日、４月１日時点の状況をとりまとめ、公表しています。,労働・賃金,雇用,一般統計,,文部科学省,高等教育局学生支援課,,,文部科学省
労働・賃金,毎月勤労統計調査,https://www.e-stat.go.jp/statistics/00450071,450071,"毎月勤労統計調査全国調査は、日本標準産業分類に基づく16大産業に属する常用労働者５人以上の事業所を対象に、賃金、労働時間及び雇用の変動を毎月把握する調査です。調査対象事業所は、常用労働者５人以上の約190万事業所(経済センサス-基礎調査)から抽出した約33,000事業所で、名目賃金（現金給与総額）や実質賃金、所定内及び所定外労働時間などがわかります。　調査の結果は、景気動向を判断するための指標の一つとなっているほか、厚生労働政策や経済政策の基礎資料、企業の労働条件決定の際の参考資料として幅広く活用されています。",労働・賃金,賃金・労働条件,基幹統計,http://www.mhlw.go.jp/toukei/list/30-1.html,厚生労働省,雇用・賃金福祉統計室,,03-5253-1111,厚生労働省
労働・賃金,労働経済動向調査,https://www.e-stat.go.jp/statistics/00450072,450072,労働経済動向調査は、景気の変動が雇用に及ぼしている影響や今後の見通しを把握するため、常用労働者30人以上を雇用する事業所を対象に年4回（2月、5月、8月、11月）実施しています。調査結果から得られる事業所の活動の実績及び今後の見込、労働者の過不足状況等は、雇用対策等の労働政策立案の貴重な資料となっています。　労働経済動向調査では、事業所の活動（業況、所定外労働時間、雇用）の動向を示す指標、労働者の過不足感を示す指標などについて、提供しています。,労働・賃金,労働力,一般統計,http://www.mhlw.go.jp/toukei/list/43-1.html,厚生労働省,雇用・賃金福祉統計室,,03-5253-1111,厚生労働省
労働・賃金,雇用動向調査,https://www.e-stat.go.jp/statistics/00450073,450073,全国の主要産業の事業所における入職・離職及び未充足求人の状況並びに入職者・離職者について個人別に属性、入職・離職に関する事情等を調査し、雇用労働力の産業、規模、職業及び地域間の移動の実態を明らかにすることを目的とした調査で上半期と下半期の年２回実施しています。  入職者と離職者の人数や率の推移を産業、年齢階級、雇用形態、就業形態ごとに集計を行い、転職入職者の状況を雇用形態間の移動、前職をやめた理由、前職との賃金変動状況、更に離職理由別離職の状況の集計を行い提供しています。,労働・賃金,雇用,一般統計,http://www.mhlw.go.jp/toukei/list/9-23-1.html,厚生労働省,雇用・賃金福祉統計室,,03-5253-1111,厚生労働省
労働・賃金,雇用の構造に関する実態調査,https://www.e-stat.go.jp/statistics/00450074,450074,雇用の構造に関する実態調査は、その時々の雇用情勢に応じたテーマ（若年者、派遣労働者、パートタイム労働者等）について、事業所側、労働者側の双方から意識面を含めて把握し、雇用政策の推進等に資することを目的として実施している調査です。調査結果は、施策の立案、判断のための資料等に広く利用されています。,労働・賃金,雇用,一般統計,http://www.mhlw.go.jp/toukei/itiran/#list07_02,厚生労働省,雇用・賃金福祉統計室,,03-5253-1111,厚生労働省
労働・賃金,産業労働事情調査,https://www.e-stat.go.jp/statistics/00450076,450076,産業労働事情調査は、経済社会の産業構造の変化、経営環境の変化等に対応した労働施策の基礎資料とするため、昭和59年から毎年テーマに沿って調査対象を設定した調査を行ってきましたが、平成15年度をもって廃止となりました。,労働・賃金,雇用,その他,http://www.mhlw.go.jp/toukei/list/42-15.html,厚生労働省,雇用・賃金福祉統計室,,03-5253-1111,厚生労働省
労働・賃金,雇用管理調査,https://www.e-stat.go.jp/statistics/00450077,450077,雇用管理調査は、我が国における雇用管理の実態を明らかにすることを目的として、採用管理に関する事項、採用後の諸管理に関する事項及び退職管理に関する事項について３年ローテーションで順次調査をおこなってきましたが、平成16年度をもって廃止となりました。,労働・賃金,雇用,その他,http://www.mhlw.go.jp/toukei/list/39-16.html,厚生労働省,雇用・賃金福祉統計室,,03-5253-1111,厚生労働省
労働・賃金,労使関係総合調査(労働組合活動等に関する実態調査),https://www.e-stat.go.jp/statistics/00450078,450078,労働組合活動等に関する実態調査は、労働組合の組織及び活動の実態等を明らかにすることを目的として、２～３年ごとに実施しています。調査対象は、民営事業所における労働組合員30人以上の労働組合で、労使関係についての認識や労働組合員数の変化に関する状況、労働組合の組織拡大に関する状況、正社員以外に関する状況などの結果を、産業別や企業規模別などで提供しています。本調査は「労働組合実態調査」、「労働組合活動実態調査」、「労働協約等実態調査」、「団体交渉と労働争議に関する実態調査」を再編したものです。,労働・賃金,労使関係,一般統計,http://www.mhlw.go.jp/toukei/list/list15-19.html,厚生労働省,雇用・賃金福祉統計室,,03-5253-1111,厚生労働省
労働・賃金,小規模事業所勤労統計調査,https://www.e-stat.go.jp/statistics/00450079,450079,"小規模事業所勤労統計調査は、令和２年は中止となった毎月勤労統計調査特別調査の代替措置として、常用労働者５人未満の事業所を対象に、雇用、給与及び労働時間の状況を把握する調査です。令和元年毎月勤労統計調査特別調査において回答のあった事業所のうち、住所を把握している約20,000事業所を調査対象としています。",労働・賃金,賃金・労働条件,一般統計,https://www.mhlw.go.jp/toukei/list/169-1.html,厚生労働省,雇用・賃金福祉統計室,,03-5253-1111,厚生労働省
労働・賃金,賃金構造基本統計調査,https://www.e-stat.go.jp/statistics/00450091,450091,賃金構造基本統計調査は、主要産業に雇用される労働者の賃金の実態を明らかにする統計調査です。賃金構造基本統計調査によって得られる賃金の実態は、国や地方公共団体だけでなく民間企業や研究機関でも広く利用されています。　賃金構造基本統計調査では、雇用形態（正社員・正職員、正社員・正職員以外）、就業形態（一般労働者、短時間労働者）、職種、性、年齢、学歴、勤続年数、経験年数など、労働者の属性別の賃金の結果を、産業、企業規模別などで提供しています。,労働・賃金,賃金・労働条件,基幹統計,http://www.mhlw.go.jp/toukei/list/chinginkouzou.html,厚生労働省,賃金福祉統計室,,03-5253-1111,厚生労働省
労働・賃金,屋外労働者職種別賃金調査,https://www.e-stat.go.jp/statistics/00450092,450092,屋外労働者職種別賃金調査は、建設業及び港湾運用関係事業に雇用される屋外労働者の賃金の実態を明らかにする統計調査です。　屋外労働者職種別賃金調査では、職種別、地域別、賃金形態別などの屋外労働者の賃金の結果を提供しています。　屋外労働者職種別賃金調査は、平成16年調査をもって廃止しています。一部職種は、賃金構造基本統計調査に引き継がれ、調査しています。,労働・賃金,賃金・労働条件,その他,http://www.mhlw.go.jp/toukei/list/okugai_roudousya.html,厚生労働省,賃金福祉統計室,,03-5253-1111,厚生労働省
労働・賃金,労働安全衛生特別調査(労働安全衛生基本調査),https://www.e-stat.go.jp/statistics/00450093,450093,労働安全衛生基本調査は、事業所が行っている安全衛生管理、労働災害防止活動及び安全衛生教育の実施状況等の実態並びにそこで働く労働者の労働災害防止等に対する意識を把握し、今後の労働安全衛生行政を推進するための基礎資料とすることを目的としています。,労働・賃金,労働災害,一般統計,https://www.mhlw.go.jp/toukei/list/list46-50.html,厚生労働省,賃金福祉統計室,anei-cyosa@mhlw.go.jp,03-5253-1111,厚生労働省
労働・賃金,労働安全衛生調査(労働環境調査),https://www.e-stat.go.jp/statistics/00450094,450094,労働環境調査は、危険有害業務の拡大、労働態様や労働環境の変化及び労働者への影響等を把握し、快適な職場環境の形成を含めた今後の労働安全衛生行政を推進するための基礎資料とすることを目的としています。,労働・賃金,労働災害,一般統計,https://www.mhlw.go.jp/toukei/list/list46-50.html,厚生労働省,賃金福祉統計室,anei-cyosa@mhlw.go.jp,03-5253-1111,厚生労働省
労働・賃金,労働安全衛生特別調査(労働者健康状況調査),https://www.e-stat.go.jp/statistics/00450095,450095,労働者健康状況調査は、労働者の健康状況、健康管理の推進状況等を把握し、労働者の健康確保対策、自主的な健康管理の推進等労働衛生行政運営の推進に資することを目的としています。,労働・賃金,労働災害,一般統計,https://www.mhlw.go.jp/toukei/list/list46-50.html,厚生労働省,賃金福祉統計室,anei-cyosa@mhlw.go.jp,03-5253-1111,厚生労働省
